Ticker,Company Name,Net Cash from / (used in) Operating Activities,Net Cash from / (used in) Investing Activities,Net Cash from / (used in) Financing Activities,Cash and Cash Equivalents at End of Period, Cash Cover (#Qs) 
1AE.AX,Aurora Energy Metals Ltd," (380,000)",, - ," 2,637,000 ", (0.2)
1MC.AX,Morella Corporation Ltd," (716,000)"," (2,538,000)"," (12,000)"," 1,127,000 ", 5.4 
29M.AX,29Metals Ltd," (24,640,000)"," (40,851,000)"," 20,427,000 ", 0 , (2.3)
3DA.AX,Amaero International Ltd," (3,010,000)"," (11,000)"," 9,809,000 "," 11,702,000 ", 8.5 
3DP.AX,Pointerra Ltd," (1,446,000)"," (19,000)"," 144,000 "," 1,540,000 ", 0.7 
3PL.AX,3P Learning Ltd," 8,716,000 "," (25,210,000)"," (635,000)"," 14,010,000 ", 2.5 
4DS.AX,4DS Memory Ltd," (784,000)",," 983,000 "," 10,323,000 ", 0.2 
4DX.AX,4DMedical Ltd," (8,057,000)"," (36,635,000)"," 32,695,000 "," 47,874,000 ", 2.1 
5GN.AX,5G Networks Ltd," 8,021,000 "," (4,077,000)"," (4,865,000)"," 4,498,000 ", 1.5 
88E.AX,88 Energy Ltd," (1,443,000)"," 895,000 "," 9,153,000 "," 18,183,000 ", (11.1)
92E.AX,92 Energy Ltd," (1,243,000)"," (23,000)"," 143,000 "," 4,997,000 ", (0.8)
A1M.AX,AIC Mines Ltd," 22,851,000 "," (50,947,000)"," 30,888,000 "," 30,888,000 ", 0.5 
A1N.AX,ARN Media Ltd," 12,550,000 "," 22,066,000 "," (35,909,000)"," 22,625,000 ", 7.4 
A2B.AX,A2B Australia Ltd," 10,373,000 "," 11,806,000 "," (5,001,000)", 0 , 0.7 
AAR.AX,Astral Resources NL," (458,000)"," (1,751,000)"," (112,000)"," 1,753,000 ", 2.6 
AAU.AX,Antilles Gold Ltd," (483,000)"," (1,097,000)"," 458,000 "," 1,373,000 ", 6.2 
ABY.AX,Adore Beauty Group Ltd," 820,000 "," (2,238,000)"," (587,000)"," 27,761,000 ", 1.8 
ACE.AX,Acusensus Ltd," (2,494,000)"," (1,229,000)"," (317,000)"," 9,149,000 ", (0.9)
ACF.AX,Acrow Ltd," 29,869,771 "," (26,260,912)"," 1,321,108 "," 4,939,396 ", 1.2 
ACR.AX,Acrux Ltd," 1,464,000 "," (100,000)"," (38,000)"," 4,565,000 ", 3.2 
ACW.AX,Actinogen Medical Ltd," (1,629,000)",, - ," 11,454,000 ", (2.6)
ADH.AX,Adairs Ltd," 108,398,000 "," (12,324,000)"," (96,478,000)"," 25,898,000 ", 3.9 
ADN.AX,Andromeda Metals Ltd," (2,007,000)"," (2,652,000)"," (54,000)"," 8,378,000 ", (537.5)
ADO.AX,Anteotech Ltd," 1,171,000 "," (422,000)"," (62,000)"," 4,640,000 ", (10.1)
ADX.AX,Adx Energy Ltd," (2,811,000)"," (737,000)"," 5,718,000 "," 7,875,000 ", 2.1 
AEE.AX,Aura Energy Ltd," (1,682,000)"," (1,241,000)"," 236,000 "," 5,869,000 ", (4.2)
AEV.AX,Avenira Ltd," (550,000)"," (1,514,000)"," 4,446,000 "," 4,117,000 ", 2.0 
AGE.AX,Alligator Energy Ltd," (424,000)"," (4,042,000)"," 3,102,000 "," 36,514,000 ", 0.8 
AGI.AX,Ainsworth Game Technology Ltd," (7,961,000)"," (1,216,000)"," (1,000,000)"," 37,094,000 ", 1.2 
AGN.AX,Argenica Therapeutics Ltd," 1,014,000 ", 0 , - ," 8,421,000 ", -   
AGY.AX,Argosy Minerals Ltd," (180,000)"," (3,723,000)"," (13,000)"," 13,852,000 ", 2.2 
