ticker,Company Name,Net Cash from / (used in) Operating Activities,Net Cash from / (used in) Investing Activities,Net Cash from / (used in) Financing Activities,Cash and Cash Equivalents at End of Period
PNR.AX,Pantoro Ltd,"-4,258,000","20,098,000","-1,864,000","44,467,000"
TLG.AX,Talga Group Ltd,,,,
ARX.AX,Aroa Biosurgery Ltd,,,,
MDR.AX,Medadvisor Ltd,,,,
MAY.AX,Melbana Energy Ltd,,,,
VIT.AX,Vitura Health Ltd,,,,
EL8.AX,Elevate Uranium Ltd,,,,
ONE.AX,Oneview Healthcare PLC,,,,
MLG.AX,MLG OZ Ltd,,,,
DBF.AX,Duxton Farms Ltd,,,,
SHV.AX,Select Harvests Ltd,,,,
ASG.AX,Autosports Group Ltd,,,,
SGLLV.AX,Ricegrowers Ltd,,,,
HLO.AX,Helloworld Travel Ltd,,,,
ALK.AX,Alkane Resources Ltd,,,,
COE.AX,Cooper Energy Ltd,,,,
KPG.AX,Kelly Partners Group Holdings Ltd,,,,
SXE.AX,Southern Cross Electrical Engineering Ltd,,,,
STP.AX,Step One Clothing Ltd,,,,
FRI.AX,Finbar Group Ltd,,,,
29M.AX,29Metals Ltd,,,,
DSE.AX,Dropsuite Ltd,,,,
A2B.AX,A2B Australia Ltd,,,,
CAA.AX,Capral Ltd,,,,
CYG.AX,Coventry Group Ltd,,,,
EGG.AX,Enero Group Ltd,,,,
BTH.AX,Bigtincan Holdings Ltd,,,,
KOV.AX,Korvest Ltd,,,,
SXG.AX,Southern Cross Gold Ltd,,,,
ECL.AX,Excelsior Capital Ltd,,,,
VMT.AX,Vmoto Ltd,,,,
AYUPA.AX,Australian Unity Ltd,,,,
FND.AX,Findi Ltd,,,,
ARE.AX,Orpheus Uranium NL,,,,
AVG.AX,Australian Vintage Ltd,,,,
WA1.AX,WA1 Resources Ltd,,,,
MEM.AX,Memphasys Ltd,,,,
SHG.AX,Singular Health Group Ltd,,,,
LGI.AX,LGI Ltd,,,,
CKA.AX,Cokal Ltd,,,,
GLA.AX,Gladiator Resources Ltd,,,,
FHS.AX,Freehill Mining Ltd,,,,
BFC.AX,Beston Global Food Company Ltd,,,,
BOC.AX,Bougainville Copper Ltd,,,,
CZR.AX,Czr Resources Ltd,,,,
EM2.AX,Eagle Mountain Mining Ltd,,,,
MKR.AX,Manuka Resources Ltd,,,,
WNX.AX,Wellnex Life Ltd,,,,
G6M.AX,Group 6 Metals Ltd,,,,
MTC.AX,Metalstech Ltd,,,,
PBH.AX,Pointsbet Holdings Ltd,,,,
AMD.AX,Arrow Minerals Ltd,,,,
BIT.AX,Biotron Ltd,,,,
WCN.AX,White Cliff Minerals Ltd,,,,
EQR.AX,EQ Resources Ltd,,,,
SGC.AX,Sacgasco Ltd,,,,
MKG.AX,Mako Gold Ltd,,,,
IOD.AX,Iodm Ltd,,,,
IMR.AX,Imricor Medical Systems Inc,,,,
NRZ.AX,NeuRizer Ltd,,,,
EVR.AX,EV Resources Ltd,,,,
PXX.AX,Polarx Ltd,,,,
SPN.AX,Sparc Technologies Ltd,,,,
WWI.AX,West Wits Mining Ltd,,,,
ENV.AX,Enova Mining Ltd,,,,
BAS.AX,Bass Oil Ltd,,,,
BUY.AX,Bounty Oil and Gas NL,,,,
BMG.AX,BMG Resources Ltd,,,,
EOL.AX,Energy One Ltd,,,,
VRC.AX,Volt Resources Ltd,,,,
QGL.AX,Quantum Graphite Ltd,,,,
PFG.AX,Prime Financial Group Ltd,,,,
NIM.AX,Nimy Resources Ltd,,,,
ARN.AX,Aldoro Resources Ltd,,,,
1MC.AX,Morella Corporation Ltd,,,,
KZR.AX,Kalamazoo Resources Ltd,,,,
NHE.AX,Noble Helium Ltd,,,,
GUE.AX,Global Uranium and Enrichment Ltd,,,,
RIM.AX,Rimfire Pacific Mining Ltd,,,,
RHY.AX,Rhythm Biosciences Ltd,,,,
PNX.AX,PNX Metals Ltd,,,,
RKN.AX,Reckon Ltd,,,,
VNL.AX,Vinyl Group Ltd,,,,
PVE.AX,PO Valley Energy Ltd,,,,
CPV.AX,ClearVue Technologies Ltd,,,,
LV1.AX,Live Verdure Ltd,,,,
WTM.AX,Waratah Minerals Ltd,,,,
ZNC.AX,Zenith Minerals Ltd,,,,
CXU.AX,Cauldron Energy Ltd,,,,
EEL.AX,ENRG Elements Ltd,,,,
DTZ.AX,Dotz Nano Ltd,,,,
AAU.AX,Antilles Gold Ltd,,,,
LDX.AX,Lumos Diagnostics Holdings Ltd,,,,
UNT.AX,Unith Ltd,,,,
BRX.AX,Belararox Ltd,,,,
IND.AX,Industrial Minerals Ltd,,,,
EV1.AX,Evolution Energy Minerals Ltd,,,,
SMN.AX,Structural Monitoring Systems PLC,,,,
GAS.AX,State Gas Ltd,,,,
GGE.AX,Grand Gulf Energy Ltd,,,,
3DP.AX,Pointerra Ltd,,,,
ARV.AX,Artemis Resources Ltd,,,,
TTT.AX,Titomic Ltd,,,,
VMM.AX,Viridis Mining and Minerals Ltd,,,,
BUX.AX,Buxton Resources Ltd,,,,
TNC.AX,True North Copper Ltd,,,,
CAN.AX,Cann Group Ltd,,,,
CG1.AX,Carbonxt Group Ltd,,,,
AUE.AX,Aurum Resources Ltd,,,,
NET.AX,Netlinkz Ltd,,,,
BLU.AX,Blue Energy Ltd,,,,
AAR.AX,Astral Resources NL,,,,
